system:index,elevation,latitude,longitude,.geo
2271_0,1036.6898,60.64033572381071,-44.126628148608,"{""type"":""MultiPoint"",""coordinates"":[]}"
2277_0,773.699,67.31119765887941,-52.5191746217157,"{""type"":""MultiPoint"",""coordinates"":[]}"
2303_0,447.47235,61.27055316430955,-48.47900207371623,"{""type"":""MultiPoint"",""coordinates"":[]}"
2310_0,134.5922,68.48325017406302,-51.08543971128726,"{""type"":""MultiPoint"",""coordinates"":[]}"
2323_0,1205.2352,81.04278396222868,-60.53930055276852,"{""type"":""MultiPoint"",""coordinates"":[]}"
2325_0,69.276535,63.36210782686207,-50.49844780738759,"{""type"":""MultiPoint"",""coordinates"":[]}"
2327_0,995.26495,80.8000538346006,-58.10035970226405,"{""type"":""MultiPoint"",""coordinates"":[]}"
2330_0,280.18973,65.14824687538993,-51.15163060767719,"{""type"":""MultiPoint"",""coordinates"":[]}"
2334_0,1373.8944,65.63713712123915,-49.33707360015814,"{""type"":""MultiPoint"",""coordinates"":[]}"
2346_0,1139.6388,60.23814630509395,-43.472237039616495,"{""type"":""MultiPoint"",""coordinates"":[]}"
2352_0,1299.8607,61.333405067463055,-46.863995250323704,"{""type"":""MultiPoint"",""coordinates"":[]}"
2356_0,27.23029,62.20109732724588,-49.5813676854776,"{""type"":""MultiPoint"",""coordinates"":[]}"
2358_0,915.82214,67.41550252789699,-49.547773877524314,"{""type"":""MultiPoint"",""coordinates"":[]}"
2365_0,11.101543,78.6953208894894,-70.88201869097156,"{""type"":""MultiPoint"",""coordinates"":[]}"
2368_0,1242.6597,78.26788938943741,-68.0312140382399,"{""type"":""MultiPoint"",""coordinates"":[]}"
2380_0,908.0749,67.11238846189165,-53.18452945035016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2386_0,183.19994,73.58284894086928,-55.441952342624354,"{""type"":""MultiPoint"",""coordinates"":[]}"
2399_0,76.43166,64.574968650941,-52.03492921860911,"{""type"":""MultiPoint"",""coordinates"":[]}"
2404_0,753.9854,73.96643182517873,-55.27759339188554,"{""type"":""MultiPoint"",""coordinates"":[]}"
2411_0,673.7983,65.87802285831435,-52.55114368450908,"{""type"":""MultiPoint"",""coordinates"":[]}"
2415_0,784.3025,61.89063029792926,-48.58377561324039,"{""type"":""MultiPoint"",""coordinates"":[]}"
2418_0,509.21423,61.082648407241734,-46.55069885588825,"{""type"":""MultiPoint"",""coordinates"":[]}"
2421_0,1020.709,78.24633966703233,-70.63708394102183,"{""type"":""MultiPoint"",""coordinates"":[]}"
2426_0,243.32224,69.44682182729004,-50.47343048909587,"{""type"":""MultiPoint"",""coordinates"":[]}"
2430_0,360.8817,80.07806497749432,-64.18836570820457,"{""type"":""MultiPoint"",""coordinates"":[]}"
2443_0,476.58157,80.67565265446206,-59.22384259747503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2456_0,789.86957,63.29235951672246,-49.73648663244688,"{""type"":""MultiPoint"",""coordinates"":[]}"
2457_0,26.077188,66.00366262663745,-52.56422125937895,"{""type"":""MultiPoint"",""coordinates"":[]}"
2472_0,822.8973,67.63712314867931,-49.62970491037972,"{""type"":""MultiPoint"",""coordinates"":[]}"
2474_0,144.60284,69.9137066433601,-51.18243875002803,"{""type"":""MultiPoint"",""coordinates"":[]}"
2479_0,435.14966,75.85405676757684,-59.63233996135211,"{""type"":""MultiPoint"",""coordinates"":[]}"
2483_0,709.3201,72.6460834722769,-54.34277872591036,"{""type"":""MultiPoint"",""coordinates"":[]}"
2486_0,988.4131,61.804009614235255,-47.973007085887524,"{""type"":""MultiPoint"",""coordinates"":[]}"
2488_0,461.18506,71.70230727881405,-53.7978542470333,"{""type"":""MultiPoint"",""coordinates"":[]}"
2493_0,1005.90314,61.367774016152815,-44.96768877114124,"{""type"":""MultiPoint"",""coordinates"":[]}"
2500_0,1442.0865,66.04886957291258,-49.10306083012438,"{""type"":""MultiPoint"",""coordinates"":[]}"
2504_0,392.24014,76.99808443258591,-70.52405356808391,"{""type"":""MultiPoint"",""coordinates"":[]}"
2527_0,986.24567,69.8373202890052,-53.523516186155575,"{""type"":""MultiPoint"",""coordinates"":[]}"
2531_0,59.094963,61.017544597052726,-47.296939422143645,"{""type"":""MultiPoint"",""coordinates"":[]}"
2540_0,717.1123,65.93132302730965,-52.981695724636914,"{""type"":""MultiPoint"",""coordinates"":[]}"
2545_0,1240.3867,69.75331821361097,-54.21034693487616,"{""type"":""MultiPoint"",""coordinates"":[]}"
2546_0,550.4219,80.5177352226253,-64.49701085312061,"{""type"":""MultiPoint"",""coordinates"":[]}"
2553_0,1148.6532,62.360163972202116,-48.84773753950901,"{""type"":""MultiPoint"",""coordinates"":[]}"
2563_0,419.4113,73.87681880173795,-55.43979105079186,"{""type"":""MultiPoint"",""coordinates"":[]}"
2564_0,277.54083,67.08478048593567,-50.50292979275981,"{""type"":""MultiPoint"",""coordinates"":[]}"
2569_0,830.74023,69.67505960212759,-49.86744980875316,"{""type"":""MultiPoint"",""coordinates"":[]}"
2573_0,1081.7198,72.22888331735754,-53.16827650784011,"{""type"":""MultiPoint"",""coordinates"":[]}"
2574_0,2059.4243,60.85884015940983,-44.19533565429358,"{""type"":""MultiPoint"",""coordinates"":[]}"
2575_0,727.475,62.81104629566267,-49.62374185300933,"{""type"":""MultiPoint"",""coordinates"":[]}"
2576_0,316.2234,69.74615664028062,-50.51600213062948,"{""type"":""MultiPoint"",""coordinates"":[]}"
2584_0,725.55005,66.18541760228938,-50.19042350636649,"{""type"":""MultiPoint"",""coordinates"":[]}"
2586_0,39.87807,60.49998889796336,-43.41523989324602,"{""type"":""MultiPoint"",""coordinates"":[]}"
2605_0,212.3826,67.41217119014007,-53.53096570418873,"{""type"":""MultiPoint"",""coordinates"":[]}"
2607_0,343.84662,78.71881178509229,-68.88345041384018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2608_0,935.13074,70.51088386427496,-53.19500955232644,"{""type"":""MultiPoint"",""coordinates"":[]}"
2609_0,546.86084,77.53327031085809,-68.07072549007934,"{""type"":""MultiPoint"",""coordinates"":[]}"
2611_0,1404.1506,64.50248448745185,-49.0748323184464,"{""type"":""MultiPoint"",""coordinates"":[]}"
2613_0,1003.1002,78.241731835383,-71.49457941170876,"{""type"":""MultiPoint"",""coordinates"":[]}"
2623_0,871.4696,61.80588264853632,-48.66416261821627,"{""type"":""MultiPoint"",""coordinates"":[]}"
2625_0,396.88092,67.53093522339867,-51.66974880212592,"{""type"":""MultiPoint"",""coordinates"":[]}"
2633_0,-5.993025,78.17429256363606,-72.82506545624912,"{""type"":""MultiPoint"",""coordinates"":[]}"
2642_0,716.0156,76.8414734672265,-67.32612085336753,"{""type"":""MultiPoint"",""coordinates"":[]}"
2643_0,574.113,76.50665062599292,-66.86246190647711,"{""type"":""MultiPoint"",""coordinates"":[]}"
2644_0,390.85016,70.71369004880825,-50.83793938584362,"{""type"":""MultiPoint"",""coordinates"":[]}"
2655_0,1408.8845,73.27916113756814,-53.113441438591614,"{""type"":""MultiPoint"",""coordinates"":[]}"
2656_0,1959.1394,72.15273670782366,-51.6438107452515,"{""type"":""MultiPoint"",""coordinates"":[]}"
2663_0,354.0019,78.726505003237,-68.57438274624513,"{""type"":""MultiPoint"",""coordinates"":[]}"
2669_0,389.60208,76.98424890110918,-70.43556791779618,"{""type"":""MultiPoint"",""coordinates"":[]}"
2676_0,76.55582,67.90472841740176,-53.19368930469138,"{""type"":""MultiPoint"",""coordinates"":[]}"
2677_0,586.62683,78.42490766221724,-69.34180624107329,"{""type"":""MultiPoint"",""coordinates"":[]}"
2691_0,290.70404,60.977811533413494,-43.630823610831165,"{""type"":""MultiPoint"",""coordinates"":[]}"
2694_0,394.43884,69.57197261430058,-54.551619840694805,"{""type"":""MultiPoint"",""coordinates"":[]}"
