system:index,aspect,latitude,longitude,.geo
2790_0,3,70.26659117830582,-52.259036312995754,"{""type"":""MultiPoint"",""coordinates"":[]}"
2805_0,4,63.81074723014551,-50.17573240979668,"{""type"":""MultiPoint"",""coordinates"":[]}"
2810_0,2,61.763454349211656,-46.739487274325306,"{""type"":""MultiPoint"",""coordinates"":[]}"
2813_0,2,77.59419070679252,-65.83990440270674,"{""type"":""MultiPoint"",""coordinates"":[]}"
2826_0,3,60.195679234018634,-43.730903868767136,"{""type"":""MultiPoint"",""coordinates"":[]}"
2841_0,1,62.13632499333379,-46.972367104927045,"{""type"":""MultiPoint"",""coordinates"":[]}"
2843_0,1,63.99243225259067,-51.03318832531993,"{""type"":""MultiPoint"",""coordinates"":[]}"
2860_0,2,61.06124027973221,-47.243673160066,"{""type"":""MultiPoint"",""coordinates"":[]}"
2871_0,4,62.64766976760854,-48.7365444054455,"{""type"":""MultiPoint"",""coordinates"":[]}"
2884_0,4,70.53113577917141,-52.90323780191936,"{""type"":""MultiPoint"",""coordinates"":[]}"
2892_0,1,78.31031866942517,-71.02657665393205,"{""type"":""MultiPoint"",""coordinates"":[]}"
2897_0,4,71.28231012882478,-51.52210803448161,"{""type"":""MultiPoint"",""coordinates"":[]}"
2914_0,2,67.40660525879683,-52.999327620877885,"{""type"":""MultiPoint"",""coordinates"":[]}"
2927_0,3,78.60006338881193,-69.25410507347158,"{""type"":""MultiPoint"",""coordinates"":[]}"
2936_0,3,78.01952147697918,-69.85902351380241,"{""type"":""MultiPoint"",""coordinates"":[]}"
2951_0,3,64.75486076973132,-51.87406288453689,"{""type"":""MultiPoint"",""coordinates"":[]}"
2956_0,4,76.5916964913504,-66.20556477921646,"{""type"":""MultiPoint"",""coordinates"":[]}"
2962_0,2,62.63145114732538,-49.77293689213186,"{""type"":""MultiPoint"",""coordinates"":[]}"
2966_0,3,77.55350164085891,-68.01292686711376,"{""type"":""MultiPoint"",""coordinates"":[]}"
2975_0,2,61.65267270724113,-46.2713232888453,"{""type"":""MultiPoint"",""coordinates"":[]}"
2981_0,1,67.79261198329947,-49.90726432168943,"{""type"":""MultiPoint"",""coordinates"":[]}"
3002_0,4,63.88535565120071,-48.90044858503318,"{""type"":""MultiPoint"",""coordinates"":[]}"
3005_0,4,79.08984962573203,-64.1228320133714,"{""type"":""MultiPoint"",""coordinates"":[]}"
3007_0,2,64.31852371007317,-49.95227504522934,"{""type"":""MultiPoint"",""coordinates"":[]}"
3008_0,2,67.43038527490138,-51.10506635336516,"{""type"":""MultiPoint"",""coordinates"":[]}"
3010_0,2,70.59381492109993,-53.704484549035314,"{""type"":""MultiPoint"",""coordinates"":[]}"
3024_0,2,62.664310530061066,-48.82266668677254,"{""type"":""MultiPoint"",""coordinates"":[]}"
3036_0,4,68.66103908054579,-50.929848875933786,"{""type"":""MultiPoint"",""coordinates"":[]}"
3041_0,1,66.24516614157875,-49.7638240434711,"{""type"":""MultiPoint"",""coordinates"":[]}"
3043_0,1,80.37027357141368,-58.15234511476768,"{""type"":""MultiPoint"",""coordinates"":[]}"
3050_0,3,67.46650616013372,-53.18517741104965,"{""type"":""MultiPoint"",""coordinates"":[]}"
3056_0,1,66.47709446920172,-51.885937982152655,"{""type"":""MultiPoint"",""coordinates"":[]}"
3070_0,4,69.56394197806605,-49.8191668176983,"{""type"":""MultiPoint"",""coordinates"":[]}"
3077_0,4,69.60414079452592,-53.270951079209325,"{""type"":""MultiPoint"",""coordinates"":[]}"
3083_0,2,66.58186157144699,-50.05805387232108,"{""type"":""MultiPoint"",""coordinates"":[]}"
3092_0,2,62.16172851817911,-48.55296500065861,"{""type"":""MultiPoint"",""coordinates"":[]}"
3098_0,4,68.69870989521202,-49.83073011022302,"{""type"":""MultiPoint"",""coordinates"":[]}"
3099_0,2,76.28627715145225,-66.90192954536401,"{""type"":""MultiPoint"",""coordinates"":[]}"
3119_0,1,66.86438832551686,-49.868006154995896,"{""type"":""MultiPoint"",""coordinates"":[]}"
3141_0,4,62.81487010403099,-49.2583394448608,"{""type"":""MultiPoint"",""coordinates"":[]}"
