system:index,distance_to_sea,.geo
761,15575.95937428833,"{""type"":""Point"",""coordinates"":[-57.607312299266,75.45842730971647]}"
762,9576.504648189522,"{""type"":""Point"",""coordinates"":[-53.44560053489778,72.2084487027339]}"
769,2781.386265458594,"{""type"":""Point"",""coordinates"":[-52.39583206982888,66.38847847621513]}"
772,14862.571549825327,"{""type"":""Point"",""coordinates"":[-51.34341161996913,65.56618361470039]}"
797,82844.0286552436,"{""type"":""Point"",""coordinates"":[-59.51059753235737,80.19625906321465]}"
802,12389.424333220522,"{""type"":""Point"",""coordinates"":[-50.91728573225833,63.747944589017244]}"
812,7906.313803261446,"{""type"":""Point"",""coordinates"":[-53.15834355028374,67.13476749800945]}"
817,5350.700364422396,"{""type"":""Point"",""coordinates"":[-56.02047033875267,74.58975367461518]}"
818,53034.1776403915,"{""type"":""Point"",""coordinates"":[-49.505868583309365,65.31983590034619]}"
819,37027.80537346667,"{""type"":""Point"",""coordinates"":[-46.96953101755358,61.30601543105953]}"
823,11524.737118488374,"{""type"":""Point"",""coordinates"":[-50.22167456583751,64.91919265438216]}"
841,6761.861495706293,"{""type"":""Point"",""coordinates"":[-44.60594551492516,60.54767330527774]}"
846,17634.705412511295,"{""type"":""Point"",""coordinates"":[-50.09953949905623,70.39382089251177]}"
862,1573.7854853455935,"{""type"":""Point"",""coordinates"":[-53.43031796673398,65.96845220717957]}"
885,26505.649799928287,"{""type"":""Point"",""coordinates"":[-49.802791450803916,65.05617057256306]}"
887,10505.870359584382,"{""type"":""Point"",""coordinates"":[-62.47857318196194,80.7798646407329]}"
896,17235.47016630298,"{""type"":""Point"",""coordinates"":[-53.998641672824064,71.91563010843299]}"
898,6969.808519170811,"{""type"":""Point"",""coordinates"":[-50.74540778171481,68.40423812746889]}"
904,2450.1412930536353,"{""type"":""Point"",""coordinates"":[-72.37860846888817,78.46214286991784]}"
913,812.4128614381424,"{""type"":""Point"",""coordinates"":[-67.71275486153215,77.22519916494787]}"
944,18532.879343262273,"{""type"":""Point"",""coordinates"":[-54.51819018541316,73.28955062021386]}"
948,928.3869481417108,"{""type"":""Point"",""coordinates"":[-54.54761408576707,69.93346559741127]}"
952,7912.4325455249345,"{""type"":""Point"",""coordinates"":[-61.65023708653192,76.27659674683149]}"
963,13451.018409526627,"{""type"":""Point"",""coordinates"":[-50.981412218114556,65.33859791315848]}"
971,44967.26175329841,"{""type"":""Point"",""coordinates"":[-49.2734237706528,63.4358270636011]}"
974,29330.598763614038,"{""type"":""Point"",""coordinates"":[-62.56119624901683,79.91080693984448]}"
975,40332.69910051829,"{""type"":""Point"",""coordinates"":[-49.33417126347164,68.729382201811]}"
976,1795.613097210882,"{""type"":""Point"",""coordinates"":[-50.76372205538937,65.66363452133275]}"
985,31535.281454172673,"{""type"":""Point"",""coordinates"":[-68.98933370260248,78.0617976396248]}"
1012,81663.94356217906,"{""type"":""Point"",""coordinates"":[-59.70393247712497,79.98990535079496]}"
1021,50056.16126435804,"{""type"":""Point"",""coordinates"":[-49.301708795164764,67.56078577781308]}"
1034,1693.741886907917,"{""type"":""Point"",""coordinates"":[-56.2274469172737,74.45515029390425]}"
1036,4946.409593866263,"{""type"":""Point"",""coordinates"":[-52.164414108742065,70.0926884906361]}"
1037,4834.97377759406,"{""type"":""Point"",""coordinates"":[-50.771426197704116,66.918676623731]}"
1040,31102.016254767437,"{""type"":""Point"",""coordinates"":[-64.26039440582544,79.1579530884267]}"
1048,40459.74784711849,"{""type"":""Point"",""coordinates"":[-69.97068385470484,78.22370945458357]}"
1060,9299.693880238267,"{""type"":""Point"",""coordinates"":[-64.8215900133205,79.34651944070858]}"
1065,35986.694265316866,"{""type"":""Point"",""coordinates"":[-48.105911306829775,61.966496038604454]}"
1066,8132.070696476471,"{""type"":""Point"",""coordinates"":[-50.136441962374214,63.45023130006977]}"
1092,6000.638006587694,"{""type"":""Point"",""coordinates"":[-52.05155241502689,69.62894668965164]}"
1097,10221.872887410897,"{""type"":""Point"",""coordinates"":[-50.78195709743083,65.3096440036707]}"
1100,14594.515335921436,"{""type"":""Point"",""coordinates"":[-61.07898083628253,76.30058867494584]}"
1112,43619.43954305787,"{""type"":""Point"",""coordinates"":[-47.73501141755314,61.85678125708731]}"
1124,18780.247198643556,"{""type"":""Point"",""coordinates"":[-51.36939523909304,65.28553096996559]}"
1126,26775.442103745143,"{""type"":""Point"",""coordinates"":[-53.72268066697459,72.8620172336554]}"
1128,33674.565292540436,"{""type"":""Point"",""coordinates"":[-49.48372695787872,65.03993215307047]}"
1131,75479.25480090518,"{""type"":""Point"",""coordinates"":[-47.071142753960196,61.9016640097847]}"
1136,45391.027649838026,"{""type"":""Point"",""coordinates"":[-49.52276603062826,65.79799069935918]}"
1161,3871.0706667325694,"{""type"":""Point"",""coordinates"":[-53.65432225492393,67.57261689883155]}"
1162,25772.404113174405,"{""type"":""Point"",""coordinates"":[-51.72097744612227,67.10932239071366]}"
1163,2109.6120018535103,"{""type"":""Point"",""coordinates"":[-50.471974954254215,70.49968153560266]}"
1181,9848.087004436775,"{""type"":""Point"",""coordinates"":[-53.28916989737259,67.41477497441537]}"
1188,1985.8858589018332,"{""type"":""Point"",""coordinates"":[-53.01726333757368,65.62239707525919]}"
1189,3549.386455058576,"{""type"":""Point"",""coordinates"":[-67.41387091302259,77.35601463569287]}"
1191,6182.706645681103,"{""type"":""Point"",""coordinates"":[-69.18048302820044,77.1476324864422]}"
1192,8078.253182025211,"{""type"":""Point"",""coordinates"":[-50.060978179391235,69.9509070515436]}"
1195,37286.60078697244,"{""type"":""Point"",""coordinates"":[-49.65341989747281,65.6822329011018]}"
1199,74680.05030504988,"{""type"":""Point"",""coordinates"":[-60.17035427446581,79.93812446730249]}"
1221,9715.488562574674,"{""type"":""Point"",""coordinates"":[-49.87890028050267,64.61916241119336]}"
1223,27265.098959660216,"{""type"":""Point"",""coordinates"":[-59.46839066016865,76.21962911344495]}"
1224,73096.96767963785,"{""type"":""Point"",""coordinates"":[-47.01909101862598,61.81363425200022]}"
1231,3621.125115662026,"{""type"":""Point"",""coordinates"":[-51.150330103251996,63.92264256396529]}"
