system:index,latitude,longitude,offset,slope,.geo
4540_0,67.16348544824434,-51.731237350826675,0.0026001988816986383,0.0016583626875933796,"{""type"":""MultiPoint"",""coordinates"":[]}"
4542_0,76.39277667728831,-69.27847895317535,0.18650442891730154,0.0010986666322866851,"{""type"":""MultiPoint"",""coordinates"":[]}"
4549_0,77.84499316559594,-70.95518443098443,-0.023587275239474285,4.1391535027686876E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4560_0,66.6978886364852,-50.23680004416544,0.31467823382419247,-6.997442846368462E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4562_0,73.19127083621476,-54.192441566257344,-0.011867216372008172,0.0015947049176610933,"{""type"":""MultiPoint"",""coordinates"":[]}"
4569_0,80.43609377111028,-60.333594343083625,0.09716325802761502,0.0013454701852646225,"{""type"":""MultiPoint"",""coordinates"":[]}"
4575_0,64.96863171455512,-51.07043662782836,0.4866128625517749,4.2314605281029645E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4576_0,65.65853785275891,-49.35734938101243,-0.011288033094439886,0.0010726280131702342,"{""type"":""MultiPoint"",""coordinates"":[]}"
4580_0,69.80623918259558,-53.52265769041783,0.013403538860643759,-0.0011847047807051,"{""type"":""MultiPoint"",""coordinates"":[]}"
4591_0,65.29570830950304,-50.09208145189379,-0.0085713998215976,-7.94675870802006E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4594_0,64.94904844136131,-51.8741593125301,0.3248160428220915,7.067667387487334E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4619_0,63.667152530922756,-49.12738066827783,-0.0061852602556656784,-7.156229399333835E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4625_0,72.48052378341939,-53.68291713710475,0.0141366352849245,-0.0015333345001523368,"{""type"":""MultiPoint"",""coordinates"":[]}"
4642_0,60.85057478909441,-45.710728316657644,0.13483484082051225,0.002353386882306887,"{""type"":""MultiPoint"",""coordinates"":[]}"
4652_0,68.15127293466217,-51.14975786741611,0.48204886049736273,0.0032645690654316646,"{""type"":""MultiPoint"",""coordinates"":[]}"
4653_0,62.820310712583286,-49.065307082145175,-3.2381070136912847E-4,-8.616967691820938E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4659_0,67.24011174197975,-50.71164950335102,0.018620691393034156,0.005389505165663005,"{""type"":""MultiPoint"",""coordinates"":[]}"
4668_0,60.64836401863911,-43.61298246518174,-0.004590156296142954,-0.003287750901587978,"{""type"":""MultiPoint"",""coordinates"":[]}"
4674_0,69.6854157768815,-53.65956093971764,0.2842088515118523,0.0017984885764080116,"{""type"":""MultiPoint"",""coordinates"":[]}"
4677_0,63.59070590024419,-49.17481171527935,-0.003845319029496163,-6.450341125966479E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4688_0,63.08100180803477,-49.026230367285976,-0.009814224310255979,-5.152679816414407E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
4690_0,78.62868341946181,-68.87423707532156,0.037030954016775836,7.54251020831401E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4709_0,61.7959617941018,-46.39299877494642,-0.013205908777493305,-4.820892035470714E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
4711_0,74.8376132574206,-56.63954223172733,0.03542598237813966,-5.707418867821066E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4729_0,64.10391342206167,-49.86624498946614,0.31755264309462916,0.0010059168874496176,"{""type"":""MultiPoint"",""coordinates"":[]}"
4730_0,72.2070766109334,-54.395550651996764,0.3568878152199449,0.015568168459412602,"{""type"":""MultiPoint"",""coordinates"":[]}"
4737_0,79.3674579091217,-63.708385202463845,-0.007942379858465215,3.315970713417891E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4738_0,80.51029461357855,-60.20531492051136,0.013037968761863996,0.0011618823559766472,"{""type"":""MultiPoint"",""coordinates"":[]}"
4755_0,66.2724465179262,-53.15075516279234,0.10513002501423666,0.0030988990425185855,"{""type"":""MultiPoint"",""coordinates"":[]}"
4763_0,64.76130054698034,-51.67383500417144,0.4317083380449969,0.0011620933135337663,"{""type"":""MultiPoint"",""coordinates"":[]}"
